freq,indic_sb,nace_r2,currency,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 
A,V12150,C_HTC,MIO_EUR,TR	: 	2020 	: 	: 	: 	: 	: 
A,V12150,C_HTC,MIO_EUR,UK	21270 	16736 	21127 	20739 	18234 	16836 	16608 
A,V12150,C_HTC_M,MIO_EUR,AT	16120 	13179 	15110 	16636 	16592 	16240 	17013 
A,V12150,C_HTC_M,MIO_EUR,BE	: @C	: @C	14458 	15316 	15222 	15792 	15828 
A,V12150,C_HTC_M,MIO_EUR,BG	858 	642 	748 	876 	954 	1074 	1236 
A,V12150,C_HTC_M,MIO_EUR,CH	: 	15613 	: @C	: @C	19989 	19615 	19806 
A,V12150,C_HTC_M,MIO_EUR,CY	83 	79 	: @C	: @C	: @C	: @C	: @C
A,V12150,C_HTC_M,MIO_EUR,CZ	11416 p	9794 	11838 	13211 	13002 	13035 	14483 
A,V12150,C_HTC_M,MIO_EUR,DE	212036 	172457 	219473 	240332 	237114 	241552 	261885 
A,V12150,C_HTC_M,MIO_EUR,DK	8411 	6920 	7255 	7843 	7967 	8363 	7607 
A,V12150,C_HTC_M,MIO_EUR,EE	421 	254 	336 	423 	403 	444 	482 
A,V12150,C_HTC_M,MIO_EUR,EL	2602 	2293 	: @C	1827 	1516 	1412 	1243 
A,V12150,C_HTC_M,MIO_EUR,ES	33350 	26438 	29435 	29432 	27354 	27345 	29913 
A,V12150,C_HTC_M,MIO_EUR,EU27_2007	: @C	458341 e	555911 e	: @C	: 	: 	: 
A,V12150,C_HTC_M,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V12150,C_HTC_M,MIO_EUR,EU28	: 	: 	: 	590435 e	587585 e	597335 e	: 
A,V12150,C_HTC_M,MIO_EUR,FI	8452 	6566 	7377 	: @C	: @C	: b	: @C
A,V12150,C_HTC_M,MIO_EUR,FR	65909 	54054 	60086 	60158 	59960 	60739 	66222 
A,V12150,C_HTC_M,MIO_EUR,HR	1049 	908 	884 	: @C	761 	686 	729 
A,V12150,C_HTC_M,MIO_EUR,HU	6981 	5530 	6695 	7155 	6798 	7482 	8506 
A,V12150,C_HTC_M,MIO_EUR,IE	4839 	2131 	: @C	: @C	: @C	: 	: 
A,V12150,C_HTC_M,MIO_EUR,IT	63336 	53099 	63733 	64640 	63001 	64153 	66682 
A,V12150,C_HTC_M,MIO_EUR,LT	527 	279 	482 	566 	412 	359 	500 
A,V12150,C_HTC_M,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_HTC_M,MIO_EUR,LV	233 	135 	193 	: @C	: @C	219 	246 
A,V12150,C_HTC_M,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_HTC_M,MIO_EUR,NL	: @C	15713 	19784 	21041 	19574 	19878 	20425 
A,V12150,C_HTC_M,MIO_EUR,NO	8359 	6938 	7626 	8088 	8596 	8829 	: @C
A,V12150,C_HTC_M,MIO_EUR,PL	15344 	12523 	13783 	15214 	14151 	14844 	15395 
A,V12150,C_HTC_M,MIO_EUR,PT	3448 	2945 	3305 	3266 	2983 	3012 b	3220 
A,V12150,C_HTC_M,MIO_EUR,RO	3999 	3233 p	3789 	4189 	4291 	4685 	5136 
A,V12150,C_HTC_M,MIO_EUR,SE	16943 	11027 	16338 	18860 	18234 	17807 	17108 
A,V12150,C_HTC_M,MIO_EUR,SI	1986 	: @C	: @C	: @C	1954 	1944 	: @C
A,V12150,C_HTC_M,MIO_EUR,SK	2430 	2169 	3181 b	3531 	3627 	4041 	4381 
A,V12150,C_HTC_M,MIO_EUR,TR	: 	10355 	: 	: 	: 	: 	: 
A,V12150,C_HTC_M,MIO_EUR,UK	55745 	42377 	52065 	54943 	57034 	59604 	64084 
A,V12150,C_LTC,MIO_EUR,AT	: @C	: @C	: @C	: @C	13067 	12793 	13096 
A,V12150,C_LTC,MIO_EUR,BE	: @C	: @C	: @C	: @C	12671 	12810 	13387 
A,V12150,C_LTC,MIO_EUR,BG	1890 	1733 	1849 	1921 	2009 	2089 	2238 
A,V12150,C_LTC,MIO_EUR,CH	: 	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC,MIO_EUR,CY	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC,MIO_EUR,CZ	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC,MIO_EUR,DE	82681 	78349 	84297 	87536 	86620 	87111 	89406 
A,V12150,C_LTC,MIO_EUR,DK	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC,MIO_EUR,EE	970 	816 	924 	1012 	1077 	1131 	1268 
A,V12150,C_LTC,MIO_EUR,EL	7017 	7633 	: @C	: @C	5301 	4433 	4543 
A,V12150,C_LTC,MIO_EUR,ES	41771 	36758 	37252 	36646 	33862 	32780 	33298 
A,V12150,C_LTC,MIO_EUR,EU27_2007	453601 e	414711 e	439545 e	: @C	: 	: 	: 
A,V12150,C_LTC,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V12150,C_LTC,MIO_EUR,EU28	: 	: 	: 	448817 e	441119 e	442668 e	: 
A,V12150,C_LTC,MIO_EUR,FI	: @C	: @C	: @C	: @C	: @C	: b	8093 
A,V12150,C_LTC,MIO_EUR,FR	58269 	55649 	57318 	: @C	58840 	: @C	60455 
A,V12150,C_LTC,MIO_EUR,HR	: @C	: @C	: @C	: @C	2169 	: @C	: @C
A,V12150,C_LTC,MIO_EUR,HU	3859 	3408 	3464 	3517 	3430 	3636 	3785 
A,V12150,C_LTC,MIO_EUR,IE	: @C	: @C	: @C	: @C	: @C	: 	: 
A,V12150,C_LTC,MIO_EUR,IT	: @C	58943 	64265 	66072 	62187 	62859 	65456 
A,V12150,C_LTC,MIO_EUR,LT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC,MIO_EUR,LV	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC,MIO_EUR,NL	: @C	17729 	17888 	17960 	17720 	18150 	18314 
A,V12150,C_LTC,MIO_EUR,NO	: @C	: @C	: @C	6959 	7584 	7337 	7121 
A,V12150,C_LTC,MIO_EUR,PL	19757 	16908 	17667 	18661 	17588 	18658 	19929 
A,V12150,C_LTC,MIO_EUR,PT	: @C	7836 	8191 	7792 	7396 	8011 b	8418 
A,V12150,C_LTC,MIO_EUR,RO	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC,MIO_EUR,SE	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC,MIO_EUR,SI	1679 	1435 	1462 	1450 	1357 	1341 	1456 
A,V12150,C_LTC,MIO_EUR,SK	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC,MIO_EUR,TR	: 	15731 	: 	: 	: 	: 	: 
A,V12150,C_LTC,MIO_EUR,UK	: @C	: @C	54166 	: @C	57891 	: @C	: @C
A,V12150,C_LTC_M,MIO_EUR,AT	: @C	: @C	: @C	: @C	15219 	14774 	15246 
A,V12150,C_LTC_M,MIO_EUR,BE	: @C	11578 	12832 	13326 	13160 	12968 	13178 
A,V12150,C_LTC_M,MIO_EUR,BG	: @C	: @C	: @C	: @C	1459 	1328 	: @C
A,V12150,C_LTC_M,MIO_EUR,CH	: 	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC_M,MIO_EUR,CY	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC_M,MIO_EUR,CZ	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC_M,MIO_EUR,DE	118463 	97313 	113587 	121522 	119261 	122079 	125597 
A,V12150,C_LTC_M,MIO_EUR,DK	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC_M,MIO_EUR,EE	649 	420 	522 	676 	712 	742 	740 
A,V12150,C_LTC_M,MIO_EUR,EL	6699 	6195 	6113 	: @C	4483 	3691 	3622 
A,V12150,C_LTC_M,MIO_EUR,ES	44901 	31848 	33512 	32631 	29017 	27474 	28136 
A,V12150,C_LTC_M,MIO_EUR,EU27_2007	483750 e	: @C	428291 e	: @C	: 	: 	: 
A,V12150,C_LTC_M,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V12150,C_LTC_M,MIO_EUR,EU28	: 	: 	: 	447152 e	440341 e	432106 e	: 
A,V12150,C_LTC_M,MIO_EUR,FI	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC_M,MIO_EUR,FR	58733 	53041 	57326 	: @C	54482 	54223 	54783 
A,V12150,C_LTC_M,MIO_EUR,HR	: @C	: @C	: @C	: @C	1324 	: @C	: @C
A,V12150,C_LTC_M,MIO_EUR,HU	5722 	4115 	4708 	4920 	4804 	4698 	4806 
A,V12150,C_LTC_M,MIO_EUR,IE	: @C	: @C	: @C	: @C	: @C	: 	: 
A,V12150,C_LTC_M,MIO_EUR,IT	69965 	54896 	61852 	62048 	59586 	57230 	57954 
A,V12150,C_LTC_M,MIO_EUR,LT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC_M,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC_M,MIO_EUR,LV	: @C	287 	327 	406 	514 	: @C	447 
A,V12150,C_LTC_M,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC_M,MIO_EUR,NL	: @C	14950 	15194 	16139 	15974 	15025 	14915 
A,V12150,C_LTC_M,MIO_EUR,NO	: @C	: @C	6207 	: @C	: @C	6983 	: @C
A,V12150,C_LTC_M,MIO_EUR,PL	19222 	13974 	15271 	17533 	18455 	18390 	20013 
A,V12150,C_LTC_M,MIO_EUR,PT	: @C	5218 	5722 	5287 	4894 	4942 b	5076 
A,V12150,C_LTC_M,MIO_EUR,RO	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC_M,MIO_EUR,SE	12681 	8550 	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC_M,MIO_EUR,SI	2189 	: @C	: @C	: @C	1989 	2107 	: @C
A,V12150,C_LTC_M,MIO_EUR,SK	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,C_LTC_M,MIO_EUR,TR	: 	11068 	: 	: 	: 	: 	: 
A,V12150,C_LTC_M,MIO_EUR,UK	50209 	35372 	40189 	42761 	46625 	45038 	49003 
A,V12150,HTC,MIO_EUR,AT	10408 	10268 	10519 	11500 	11312 	12486 	12789 
A,V12150,HTC,MIO_EUR,BE	: @C	18258 	: @C	: @C	20247 	21843 	22236 
A,V12150,HTC,MIO_EUR,BG	: @C	: @C	: @C	: @C	1900 	1986 	: @C
A,V12150,HTC,MIO_EUR,CH	: 	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,HTC,MIO_EUR,CY	590 	582 	: @C	: @C	: @C	: @C	: @C
A,V12150,HTC,MIO_EUR,CZ	7456 p	6545 	6909 	7115 	7278 	7091 	6856 
A,V12150,HTC,MIO_EUR,DE	130401 	121850 	123565 	134715 	135478 	143078 	152448 
A,V12150,HTC,MIO_EUR,DK	13298 	13468 	14023 	14444 	15303 	15923 	17415 
A,V12150,HTC,MIO_EUR,EE	662 	: @C	659 	770 	775 	811 	881 
A,V12150,HTC,MIO_EUR,EL	6959 	6749 	: @C	4080 	4038 	4086 	3572 
A,V12150,HTC,MIO_EUR,ES	41703 	40197 	39828 	38430 	36841 	36184 	36277 
A,V12150,HTC,MIO_EUR,EU27_2007	628794 e	: @C	: @C	: @C	: 	: 	: 
A,V12150,HTC,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V12150,HTC,MIO_EUR,EU28	: 	: 	: 	: @C	639566 e	637731 e	: 
A,V12150,HTC,MIO_EUR,FI	: @C	: @C	9960 	: @C	: @C	: b	10117 
A,V12150,HTC,MIO_EUR,FR	: @C	83890 	87763 	90081 	89861 	88214 	89026 
A,V12150,HTC,MIO_EUR,HR	: @C	: @C	: @C	1969 	1854 	1922 	1899 
A,V12150,HTC,MIO_EUR,HU	6442 	6122 	6397 	6961 	6761 	6601 	6812 
A,V12150,HTC,MIO_EUR,IE	: @C	: @C	: @C	: @C	: @C	: 	: 
A,V12150,HTC,MIO_EUR,IT	62050 	59725 	64598 	63981 	62204 	59282 	58332 
A,V12150,HTC,MIO_EUR,LT	666 	649 	655 	693 	755 	793 	903 
A,V12150,HTC,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,HTC,MIO_EUR,LV	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,HTC,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,HTC,MIO_EUR,NL	: @C	27445 	29541 	30095 	31149 	29319 	30436 
A,V12150,HTC,MIO_EUR,NO	: @C	: @C	: @C	: @C	: @C	12435 	: @C
A,V12150,HTC,MIO_EUR,PL	: @C	11151 	13141 	13598 	13356 	13212 	13517 
A,V12150,HTC,MIO_EUR,PT	5957 	5813 	5982 	5594 	5390 	5328 b	5305 
A,V12150,HTC,MIO_EUR,RO	4896 p	4088 p	4214 	4129 	4167 	4350 	4836 
A,V12150,HTC,MIO_EUR,SE	: @C	: @C	: @C	: @C	24820 	: @C	: @C
A,V12150,HTC,MIO_EUR,SI	1997 	1774 	1937 	1997 	2050 	2093 	2224 
A,V12150,HTC,MIO_EUR,SK	2651 	: @C	2960 b	3028 	3289 	2930 	2941 
A,V12150,HTC,MIO_EUR,TR	: 	8574 	: 	: 	: 	: 	: 
A,V12150,HTC,MIO_EUR,UK	123567 	105952 	111830 	116536 	125100 	121586 	136941 
A,V12150,KIS_HTC,MIO_EUR,AT	7357 	7245 	7238 	7873 	7875 	8800 	8887 
A,V12150,KIS_HTC,MIO_EUR,BE	: @C	12895 	13347 	13519 	14190 	14222 	14709 
A,V12150,KIS_HTC,MIO_EUR,BG	1506 	1527 	1565 	1701 	1643 	1698 	1863 
A,V12150,KIS_HTC,MIO_EUR,CH	: 	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,KIS_HTC,MIO_EUR,CY	534 	528 	572 	569 	547 	552 	560 
A,V12150,KIS_HTC,MIO_EUR,CZ	6019 p	5521 	5695 	5870 	5578 	5231 	5122 
A,V12150,KIS_HTC,MIO_EUR,DE	89801 	88421 	85133 	93897 	96626 	103202 	109543 
A,V12150,KIS_HTC,MIO_EUR,DK	8945 	9142 	8916 	8846 	8980 	9429 	9836 
A,V12150,KIS_HTC,MIO_EUR,EE	549 	: @C	538 	584 	620 	651 	711 
A,V12150,KIS_HTC,MIO_EUR,EL	6234 	5969 	4763 	3544 	3465 	3334 	3019 
A,V12150,KIS_HTC,MIO_EUR,ES	35019 	34417 	33875 	33269 	31423 	30650 	30047 
A,V12150,KIS_HTC,MIO_EUR,EU27_2007	468880 e	441230 e	: @C	: @C	: 	: 	: 
A,V12150,KIS_HTC,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V12150,KIS_HTC,MIO_EUR,EU28	: 	: 	: 	: @C	481947 e	482926 e	: 
A,V12150,KIS_HTC,MIO_EUR,FI	: @C	: @C	6057 	: @C	: @C	: b	7382 
A,V12150,KIS_HTC,MIO_EUR,FR	: @C	66182 	68564 	70542 	69705 	68925 	69412 
A,V12150,KIS_HTC,MIO_EUR,HR	: @C	: @C	: @C	1621 	1523 	1493 	1452 
A,V12150,KIS_HTC,MIO_EUR,HU	3726 	3727 	3769 	3736 	3773 	3832 	4027 
A,V12150,KIS_HTC,MIO_EUR,IE	: @C	: @C	: @C	: @C	: @C	: 	: 
A,V12150,KIS_HTC,MIO_EUR,IT	48021 	46405 	48859 	48648 	47682 	44845 	44370 
A,V12150,KIS_HTC,MIO_EUR,LT	580 	572 	562 	616 	660 	686 	765 
A,V12150,KIS_HTC,MIO_EUR,LU	: @C	: @C	: @C	: @C	: b	: @C	: @C
A,V12150,KIS_HTC,MIO_EUR,LV	629 	519 	514 	521 	606 	669 	696 
A,V12150,KIS_HTC,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,KIS_HTC,MIO_EUR,NL	22858 	22900 	24046 	24636 	24510 	24594 	25412 
A,V12150,KIS_HTC,MIO_EUR,NO	7749 	7807 	8912 	9682 	10925 	10826 	10596 
A,V12150,KIS_HTC,MIO_EUR,PL	: @C	8830 	10382 	10892 	11127 	10540 	11129 
A,V12150,KIS_HTC,MIO_EUR,PT	5098 	5103 	5285 	4934 	4706 	4608 b	4594 
A,V12150,KIS_HTC,MIO_EUR,RO	4277 p	3495 p	3508 	3434 	3487 	3654 	4088 
A,V12150,KIS_HTC,MIO_EUR,SE	: @C	11231 	14457 	15414 	15879 	: @C	17451 
A,V12150,KIS_HTC,MIO_EUR,SI	1107 	1015 	1115 	1139 	1185 	1195 	1243 
A,V12150,KIS_HTC,MIO_EUR,SK	2003 	1817 	2002 b	2410 	2459 	2293 	2254 
A,V12150,KIS_HTC,MIO_EUR,TR	: 	6554 	: 	: 	: 	: 	: 
A,V12150,KIS_HTC,MIO_EUR,UK	102297 	89216 	90704 	95796 	106866 	104750 	120333 
A,V12150,KIS_MKT_OTH,MIO_EUR,AT	14575 	13705 	14320 	15239 	16130 	16775 	17105 
A,V12150,KIS_MKT_OTH,MIO_EUR,BE	20301 	: @C	: @C	: @C	26153 	27339 	28376 
A,V12150,KIS_MKT_OTH,MIO_EUR,BG	1346 	1212 	1243 	1245 	1343 	1372 	1466 
A,V12150,KIS_MKT_OTH,MIO_EUR,CH	: 	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,KIS_MKT_OTH,MIO_EUR,CY	: @C	: @C	: @C	1115 	1053 	1019 	1069 
A,V12150,KIS_MKT_OTH,MIO_EUR,CZ	7411 p	6247 	6342 	6766 	6654 	6540 	6510 
A,V12150,KIS_MKT_OTH,MIO_EUR,DE	131735 	123434 	138025 	146743 	148589 	166316 	179904 
A,V12150,KIS_MKT_OTH,MIO_EUR,DK	14318 	: @C	14967 	13916 	14444 	15514 	16960 
A,V12150,KIS_MKT_OTH,MIO_EUR,EE	: @C	: @C	: @C	: @C	672 	717 	828 
A,V12150,KIS_MKT_OTH,MIO_EUR,EL	9162 	8506 	6703 	6595 	6326 	5346 	5348 
A,V12150,KIS_MKT_OTH,MIO_EUR,ES	51061 	46864 	46116 	44895 	41929 	41273 	45847 
A,V12150,KIS_MKT_OTH,MIO_EUR,EU27_2007	739692 e	: @C	: @C	: @C	: 	: 	: 
A,V12150,KIS_MKT_OTH,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V12150,KIS_MKT_OTH,MIO_EUR,EU28	: 	: 	: 	: @C	761495 e	794290 e	: 
A,V12150,KIS_MKT_OTH,MIO_EUR,FI	: @C	: @C	: @C	: @C	: @C	: b	: @C
A,V12150,KIS_MKT_OTH,MIO_EUR,FR	: @C	: @C	125019 	128099 	126772 	: @C	119654 
A,V12150,KIS_MKT_OTH,MIO_EUR,HR	: @C	: @C	: @C	1976 	: @C	: @C	: @C
A,V12150,KIS_MKT_OTH,MIO_EUR,HU	3793 	3009 	3664 	3841 	3723 	4111 	4448 
A,V12150,KIS_MKT_OTH,MIO_EUR,IE	10211 	8494 	8221 	8821 	8703 	: 	: 
A,V12150,KIS_MKT_OTH,MIO_EUR,IT	70237 	54268 	68129 	65289 	61247 	61558 	63197 
A,V12150,KIS_MKT_OTH,MIO_EUR,LT	931 	684 	694 	869 	907 	952 	1106 
A,V12150,KIS_MKT_OTH,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,KIS_MKT_OTH,MIO_EUR,LV	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,KIS_MKT_OTH,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,KIS_MKT_OTH,MIO_EUR,NL	48998 	46165 	46717 	47961 	47004 	48511 	51086 
A,V12150,KIS_MKT_OTH,MIO_EUR,NO	: 	16254 	18880 	20540 	23889 	25791 	24594 
A,V12150,KIS_MKT_OTH,MIO_EUR,PL	: @C	: @C	: @C	: @C	12739 	12841 	14433 
A,V12150,KIS_MKT_OTH,MIO_EUR,PT	7667 	7588 	8393 	7549 	7020 	7043 b	7516 
A,V12150,KIS_MKT_OTH,MIO_EUR,RO	3587 p	3012 p	2871 	3074 	3158 	3684 	: @C
A,V12150,KIS_MKT_OTH,MIO_EUR,SE	: @C	: @C	: @C	: @C	: @C	: @C	25036 
A,V12150,KIS_MKT_OTH,MIO_EUR,SI	1625 	1467 	1455 	1512 	: @C	1503 	1673 
A,V12150,KIS_MKT_OTH,MIO_EUR,SK	1590 	: @C	2368 b	: @C	2454 	2256 	2738 
A,V12150,KIS_MKT_OTH,MIO_EUR,TR	: 	10105 	: 	: 	: 	: 	: 
A,V12150,KIS_MKT_OTH,MIO_EUR,UK	172769 	146149 	155516 	163405 	183303 	190914 	225531 
A,V12150,LKIS_MKT,MIO_EUR,AT	59611 	57399 	60582 	64552 	66586 	68787 	67812 
A,V12150,LKIS_MKT,MIO_EUR,BE	58565 	64027 	: @C	: @C	73971 	70640 	73185 
A,V12150,LKIS_MKT,MIO_EUR,BG	6377 	5643 	5846 	5984 	6456 	6906 	7441 
A,V12150,LKIS_MKT,MIO_EUR,CH	: 	86183 	: @C	108344 	: @C	: @C	120182 
A,V12150,LKIS_MKT,MIO_EUR,CY	3943 	3768 	3819 	3806 	3658 	3360 	3395 
A,V12150,LKIS_MKT,MIO_EUR,CZ	25858 p	22070 	23873 	25500 	24852 	24598 	24498 
A,V12150,LKIS_MKT,MIO_EUR,DE	432814 	471578 	450921 	481879 	478473 	487057 	535159 
A,V12150,LKIS_MKT,MIO_EUR,DK	42153 	42587 	42824 	45398 	46065 	47626 	49464 
A,V12150,LKIS_MKT,MIO_EUR,EE	3341 	2653 	2970 	3669 	3890 	4106 	4334 
A,V12150,LKIS_MKT,MIO_EUR,EL	35634 	34759 	30324 	28783 	23857 	22314 	24169 
A,V12150,LKIS_MKT,MIO_EUR,ES	211930 	192786 	195551 	195096 	187617 	185303 	189719 
A,V12150,LKIS_MKT,MIO_EUR,EU27_2007	2189041 e	: @C	: @C	2280120 e	: 	: 	: 
A,V12150,LKIS_MKT,MIO_EUR,EU28	: 	: 	: 	2286235 e	2288691 e	2309906 e	: 
A,V12150,LKIS_MKT,MIO_EUR,FI	: 	: 	: 	: @C	: 	30223 b	: 
A,V12150,LKIS_MKT,MIO_EUR,FR	328480 	322264 	341368 	355290 	350073 	351423 	343911 
A,V12150,LKIS_MKT,MIO_EUR,HR	: @C	: @C	: @C	7128 	6754 	7116 	7822 
A,V12150,LKIS_MKT,MIO_EUR,HU	16724 	13586 	14345 	15452 	14633 	15473 	16324 
A,V12150,LKIS_MKT,MIO_EUR,IE	27744 	24726 	24405 	24801 	25420 	: 	: 
A,V12150,LKIS_MKT,MIO_EUR,IT	216566 	204653 	233508 	242546 	228326 	228422 	234400 
A,V12150,LKIS_MKT,MIO_EUR,LT	5742 	3685 	3961 	5268 	5759 	5861 	6857 
A,V12150,LKIS_MKT,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: b	: @C
A,V12150,LKIS_MKT,MIO_EUR,LV	5093 	3441 	3630 	3902 	4464 	4570 	4857 
A,V12150,LKIS_MKT,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12150,LKIS_MKT,MIO_EUR,NL	112990 	112149 	118981 	123798 	125871 	128950 	: @C
A,V12150,LKIS_MKT,MIO_EUR,NO	43102 	41224 	46375 	49966 	54633 	54753 	53291 
A,V12150,LKIS_MKT,MIO_EUR,PL	61959 	47389 	54769 	55038 	54500 	52476 	58252 
A,V12150,LKIS_MKT,MIO_EUR,PT	32708 	31633 	30863 	28965 	26063 	25645 b	27031 
A,V12150,LKIS_MKT,MIO_EUR,RO	19830 p	14628 p	14906 	15745 	15623 	16165 	18243 
A,V12150,LKIS_MKT,MIO_EUR,SE	62926 	58149 	67398 	75746 	79561 	81917 	83057 
A,V12150,LKIS_MKT,MIO_EUR,SI	6371 	5218 	5981 	6065 	: @C	5696 	5901 
A,V12150,LKIS_MKT,MIO_EUR,SK	7801 	6481 	11345 b	12133 	11948 	11534 	9901 
A,V12150,LKIS_MKT,MIO_EUR,TR	: 	40046 	: 	: 	: 	: 	: 
A,V12150,LKIS_MKT,MIO_EUR,UK	365071 	311938 	336343 	357708 	373622 	385254 	471899 
A,V12170,C,MIO_EUR,AT	18065 	13494 	16952 	18773 	17078 	15279 	16225 
A,V12170,C,MIO_EUR,BE	19316 	16195 	19498 	17834 	17626 	19122 	19936 
A,V12170,C,MIO_EUR,BG	2007 	1780 	2055 	2411 	2343 	2308 	2623 
A,V12170,C,MIO_EUR,CH	: 	23591 	29185 b	35303 	37744 	36900 	36590 
A,V12170,C,MIO_EUR,CY	490 	440 	409 	333 	294 	253 	302 
A,V12170,C,MIO_EUR,CZ	13927 p	11036 	13074 	14313 	14048 	14551 	16886 
A,V12170,C,MIO_EUR,DE	124075 	71983 	133522 	150994 	129676 	127208 	143004 
A,V12170,C,MIO_EUR,DK	9128 	7126 	9164 	10059 	11350 	12101 	11777 
A,V12170,C,MIO_EUR,EE	731 	462 	779 	1027 	960 	964 	1000 
A,V12170,C,MIO_EUR,EL	8505 	8154 	7365 	6247 	4970 	5370 	5544 
A,V12170,C,MIO_EUR,ES	48308 	31084 	37759 	37074 	32433 	32033 	36961 
A,V12170,C,MIO_EUR,EU27_2007	: @C	408000 e	580000 e	606000 e	: 	: 	: 
A,V12170,C,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V12170,C,MIO_EUR,EU28	: 	: 	: 	608000 e	557000 e	550000 e	: 
A,V12170,C,MIO_EUR,FI	13120 	5755 	9888 	8466 	6177 	7812 b	8453 
A,V12170,C,MIO_EUR,FR	50850 	33651 	46652 	46320 	42111 	40699 	46211 
A,V12170,C,MIO_EUR,HR	2399 	1833 	1758 	1724 	1591 	1650 	1732 
A,V12170,C,MIO_EUR,HU	10031 	8017 	9745 	10443 	9551 	10124 	11134 
A,V12170,C,MIO_EUR,IE	21214 	19903 	21563 	24801 	24903 	: 	: 
A,V12170,C,MIO_EUR,IT	73819 	51836 	75441 	75042 	68453 	69024 	73561 
A,V12170,C,MIO_EUR,LT	749 	730 	1136 	1406 	1270 	1119 	1337 
A,V12170,C,MIO_EUR,LU	1176 	290 	628 	653 	561 	528 	649 
A,V12170,C,MIO_EUR,LV	756 	451 	790 	785 	923 	873 	895 
A,V12170,C,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12170,C,MIO_EUR,NL	25475 	20012 	25136 	25775 	24914 	22991 	22720 
A,V12170,C,MIO_EUR,NO	7802 	5320 	7394 	7338 	7487 	7133 	7462 
A,V12170,C,MIO_EUR,PL	30172 	24637 	25788 	29330 	26817 	28662 	29803 
A,V12170,C,MIO_EUR,PT	7148 	5634 	6907 	6073 	5611 	6358 b	6738 
A,V12170,C,MIO_EUR,RO	7564 	5015 p	6289 	6190 	6228 	6252 	7575 
A,V12170,C,MIO_EUR,SE	15186 	10335 	18603 	17970 	16048 	15560 	16333 
A,V12170,C,MIO_EUR,SI	2424 	1460 	2255 	2318 	2124 	2257 	2709 
